mod_razona_cuantitat_punt,estu_genero,fami_estratovivienda,fami_tieneinternet,fami_tienecomputador,estu_pagomatricula,estu_metodo_prgm,inst_caracter_academico,inst_origen,fami_educacionpadre,fami_ocupacionpadre,fami_educacionmadre,fami_ocupacionmadre,estu_tituloobtenidobachiller,estu_horassemanatrabaja,estu_valormatriculauniversidad,fami_tieneautomovil,fami_tienemotocicleta,edad,desempeno_dicotomico
181,F,Estrato 1,Si,Si,Familiares,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Primaria completa,Pequeño empresario,Primaria incompleta,Hogar,Bachiller técnico,Más de 30 horas,No pagó matrícula,Si,No,22,0
163,M,Estrato 2,Si,Si, Propios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Educación profesional completa,Otra actividad u ocupación,Secundaria (Bachillerato) completa,Otra actividad u ocupación,Bachiller académico,Entre 21 y 30 horas,No pagó matrícula,No,No,21,0
168,M,Estrato 2,Si,Si,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Técnica o tecnológica completa,Empleado de nivel técnico o profesional,Secundaria (Bachillerato) completa,Hogar,Bachiller académico,Entre 11 y 20 horas,No pagó matrícula,No,Si,21,0
134,F,Estrato 1,No,Si,Familiares,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Secundaria (Bachillerato) completa,Trabajador por cuenta propia,Secundaria (Bachillerato) completa,Hogar,Bachiller técnico,Más de 30 horas,No pagó matrícula,No,No,23,1
198,M,Estrato 1,No,No,Creditos,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Primaria incompleta,Empleado obrero u operario,Primaria completa,Otra actividad u ocupación,Bachiller académico,Entre 21 y 30 horas,No pagó matrícula,No,Si,25,0
128,F,Estrato 1,Si,No,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Secundaria (Bachillerato) incompleta,Trabajador por cuenta propia,Primaria incompleta,Hogar,Bachiller académico,0,Menos de 500 mil,No,No,22,1
138,F,Estrato 2,Si,Si,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Secundaria (Bachillerato) incompleta,Otra actividad u ocupación,Secundaria (Bachillerato) completa,Hogar,Bachiller técnico,Menos de 10 horas,No pagó matrícula,No,Si,24,1
120,F,Estrato 1,No,Si,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Educación profesional completa,Otra actividad u ocupación,Educación profesional completa,Empleado de nivel técnico o profesional,Bachiller académico,0,No pagó matrícula,No,No,22,1
165,M,Estrato 2,No,No,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Secundaria (Bachillerato) completa,Trabajador por cuenta propia,Secundaria (Bachillerato) completa,Trabajador por cuenta propia,Bachiller técnico,Entre 21 y 30 horas,No pagó matrícula,No,No,25,0
127,F,Estrato 2,Si,Si, Propios,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Empleado de nivel auxiliar o administrativo,Secundaria (Bachillerato) incompleta,Hogar,Bachiller académico,Más de 30 horas,Entre 2.5 millones y menos de 4 millones,No,Si,29,1
105,F,Estrato 2,Si,Si,Becas o Subsidios,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,,Empleado obrero u operario,,Hogar,Bachiller académico,Más de 30 horas,Entre 1 millón y menos de 2.5 millones,No,No,31,1
157,F,Estrato 1,No,Si,Familiares,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Técnica o tecnológica completa,Trabajador por cuenta propia,Técnica o tecnológica completa,Hogar,Bachiller técnico,Más de 30 horas,Entre 1 millón y menos de 2.5 millones,No,Si,21,0
115,M,Estrato 2,Si,Si,Familiares,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Técnica o tecnológica incompleta,Empleado de nivel técnico o profesional,No sabe,Hogar,Bachiller técnico,Menos de 10 horas,Entre 2.5 millones y menos de 4 millones,Si,Si,24,1
184,M,Estrato 1,Si,Si,Creditos,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Trabajador por cuenta propia,Secundaria (Bachillerato) completa,Otra actividad u ocupación,Bachiller técnico,Más de 30 horas,Entre 1 millón y menos de 2.5 millones,No,Si,26,0
82,F,Estrato 2,Si,Si,Familiares,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Trabajador por cuenta propia,Postgrado,Profesional Independiente,Bachiller académico,0,Entre 2.5 millones y menos de 4 millones,Si,Si,23,1
101,F,Estrato 1,Si,No,Familiares,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Primaria completa,Trabajador por cuenta propia,Primaria completa,Hogar,Bachiller académico,0,Entre 5.5 millones y menos de 7 millones,No,Si,21,1
